RowNumber,CustomerID,Surname,CreditScore,Country,Gender,Married,Age,Dependents,NumBankAccts,HasCrCard,EmergingMarketFund,RealEstate,PrivateEquity,GovtBonds,CorpBonds,ETF Tech,ETF Health,ETF Med,EstimatedSalary,Mortgage,Risk Profile,Debt,Net Assets,Portfolio Return,Diversification,BusinessOwner,Revenue,Margin,LifeInsurance,NumTransactions,LastTransactionDate,LastTransactionAmt,ForeignAssets,NumProducts,Churn,Discount,Retention,CLV
1526,15568360,Rolon,569,Spain,Female,1,41,3,1,1,1,0,1,1,1,1,0,1,163525,0,0.04,14187,37618,0.1253,0.4268,0,27269.65,0.04,1,9,10/16/2016,3200.9,0.01,5,0,0.65,,
1527,15781210,Reid,711,France,Male,0,34,0,2,0,1,1,0,1,1,1,0,1,48260,0,0.02,32288,60510,0.1263,0.4421,0,29467.43,0.04,0,4,8/14/2016,8053,0,5,1,0.69,,
1528,15668058,Chinwendu,661,Germany,Male,1,35,0,1,1,0,0,1,0,0,0,1,0,86678,0,0.33,6646,42411,0.092,0.4168,1,13685.76,0.05,0,4,9/16/2015,3472.8,0.41,5,0,0.48,,
1529,15597131,Fu,415,France,Male,0,32,0,1,1,0,0,0,1,1,0,0,0,3065,0,0.43,0,91834,0.179,0.1927,1,14467.92,0.11,1,7,3/6/2018,7942.3,0.29,5,1,0.62,,
1530,15697283,Mackenzie,578,Spain,Male,1,23,4,2,1,1,0,1,1,1,0,1,1,112125,0,0.38,3936,50813,0.0989,0.3129,1,40307.35,0.07,0,2,6/12/2015,1951.9,0.23,6,0,0.69,,
1531,15640953,Bligh,611,France,Female,1,26,3,2,1,1,1,0,0,0,1,1,0,120802,0,0.17,28078,59569,0.1094,0.2418,1,23776.07,0.11,1,3,6/19/2015,2317.8,0.12,6,0,0.62,,
1532,15715031,Davidson,600,France,Female,0,28,1,2,0,0,1,1,1,1,1,1,1,52193,0,0.33,7882,48440,0.163,0.3715,0,37107.26,0.13,1,10,3/11/2015,2544.5,0,5,0,0.18,,
1533,15589660,Lamble,661,Germany,Female,0,32,1,1,0,0,0,0,1,1,0,1,1,56636,0,0.26,6840,37812,0.089,0.4479,0,47975.87,0.07,1,5,6/30/2017,7996.2,0,2,1,0.04,,
1534,15769818,Moore,850,France,Female,1,37,1,1,0,1,1,0,0,0,1,1,1,69373,0,0.34,22930,28286,0.125,0.1304,1,80325.77,0.08,1,2,2/20/2015,4778,0.28,3,0,0.57,,
1535,15782736,Jose,573,Germany,Female,1,47,3,1,0,1,1,0,0,0,0,0,1,164038,1,0.5,0,95213,0.1412,0.2487,1,78932.23,0.08,1,5,10/21/2018,2157.2,0,4,1,0.52,,
1536,15614818,Trevisani,764,Spain,Female,1,33,2,1,0,0,0,0,0,1,0,0,1,118983,0,0.5,33491,84694,0.1172,0.3868,0,48367.71,0.13,1,1,8/6/2015,9343.5,0.37,5,1,0.69,,
1537,15794014,Schofield,838,France,Female,0,34,1,2,1,1,0,1,0,1,1,1,1,27472,0,0.26,26513,47444,0.1571,0.4524,0,19350.02,0.05,0,2,6/30/2019,9645.3,0.26,1,0,0.73,,
1538,15732448,Stewart,821,France,Female,0,28,0,1,1,1,1,0,1,1,0,1,0,36754,0,0.06,0,32055,0.1384,0.1111,1,23023.25,0.03,1,2,4/6/2016,4527.3,0,1,1,0.08,,
1539,15723411,Jamieson,607,Spain,Female,0,36,0,1,1,0,1,1,0,1,1,1,1,46416,0,0.2,36914,57517,0.1076,0.2437,1,72644.52,0.08,1,1,9/2/2018,7058.2,0.17,3,0,0.22,,
1540,15797686,Howard,558,France,Male,1,38,4,1,1,0,1,1,0,1,1,0,1,152872,0,0,9175,28211,0.1375,0.4141,0,56036.21,0.07,1,9,12/27/2018,2203.6,0.15,3,1,0.67,,
1541,15605950,Onwuamaeze,530,Germany,Male,1,23,3,2,1,0,0,1,1,0,0,0,1,165227,0,0.31,36947,58516,0.1363,0.1629,1,49032.42,0.05,1,3,5/23/2015,4867.2,0,5,0,0.59,,
1542,15812497,D'Albertis,654,Germany,Male,1,37,0,1,1,1,1,0,0,0,0,1,1,75927,0,0.43,44841,20649,0.1722,0.1533,1,32317.35,0.12,0,5,4/1/2016,5338.7,0.32,4,0,0.71,,
1543,15690678,Brooks,530,France,Female,1,33,5,1,1,0,1,1,1,0,1,1,0,172930,0,0.35,20305,66709,0.1764,0.1099,1,59932.95,0.1,1,6,3/5/2017,8507.4,0.47,6,0,0.54,,
1544,15747677,Gordon,656,Spain,Male,0,69,0,1,1,1,1,0,1,1,0,0,1,36109,0,0.21,0,63646,0.1528,0.428,0,16519.44,0.1,1,2,5/9/2018,5106.8,0.28,6,1,0.58,,
1545,15618926,Nwachukwu,520,Spain,Male,0,43,1,2,1,0,1,0,0,1,1,1,1,36203,0,0.29,37901,42974,0.1702,0.3464,1,70133.3,0.12,1,3,12/10/2018,8823.5,0.05,2,1,0.25,,
1546,15673908,Chinweike,602,Germany,Female,1,42,4,1,1,1,0,1,0,1,1,0,1,131886,0,0.14,0,46546,0.102,0.3812,0,16280.64,0.04,1,3,2/24/2015,732,0.02,4,0,0.43,,
1547,15727944,Simpkinson,701,Germany,Female,1,48,5,1,1,1,0,1,0,1,1,1,1,133992,0,0.07,35783,68269,0.1706,0.3775,1,50608.58,0.11,1,10,1/9/2019,4490.4,0.35,1,1,0.64,,
1548,15807294,Walker,653,Spain,Female,1,30,1,2,1,1,1,0,0,0,0,0,1,96658,0,0.24,271,49041,0.1599,0.3675,0,61519.95,0.08,1,8,9/29/2016,2819.3,0,3,0,0.68,,
1549,15618581,Diribe,668,Spain,Male,1,25,4,2,1,0,0,0,1,1,0,0,1,135112,0,0.3,30834,90619,0.1601,0.1133,0,21311.79,0.13,1,10,2/22/2017,616.2,0.47,4,1,0.13,,
1550,15584364,Trentini,652,France,Male,1,48,5,1,1,0,0,0,0,0,0,1,1,163944,1,0.08,12776,29770,0.1568,0.1252,0,15844.89,0.03,0,4,3/10/2016,9975.9,0.3,3,0,0.13,,
1551,15599552,Conway,639,Spain,Female,0,54,1,2,1,1,1,1,1,0,0,0,0,53844,0,0.02,18245,85077,0.1494,0.2518,1,89470.84,0.11,1,4,12/28/2015,3330.4,0.34,3,1,0.39,,
1552,15749177,Maslow,730,Spain,Female,1,52,4,2,0,1,0,1,1,1,1,0,1,122399,0,0.35,0,27362,0.1668,0.3295,1,14095.56,0.09,1,9,1/26/2015,9297.2,0.26,4,1,0.15,,
1553,15718779,Clark,780,France,Male,1,34,0,1,1,1,1,1,0,1,1,1,1,64804,0,0.44,19402,82245,0.116,0.2213,1,55229.41,0.11,1,4,12/23/2016,6689.3,0,1,1,0.72,,
1554,15568106,L?,592,France,Female,0,38,0,2,0,0,1,0,1,1,0,0,1,19371,0,0.08,0,80119,0.1133,0.3325,1,25758.61,0.03,1,5,10/19/2015,3666.5,0,3,1,0.76,,
1555,15779481,Swadling,628,France,Male,1,34,4,2,1,0,1,1,1,1,1,1,1,126193,0,0.32,35438,71298,0.1295,0.1358,0,27696.89,0.11,1,1,1/7/2016,4686.1,0,2,1,0.69,,
1556,15709994,Gallo,658,France,Female,1,40,3,1,0,1,0,1,1,1,1,0,1,135459,1,0.05,10705,35401,0.0943,0.2901,0,10994.09,0.04,1,6,11/9/2018,4727.5,0.46,5,0,0.64,,
1557,15772777,Onyemachukwu,850,Spain,Female,1,29,1,2,1,1,0,0,0,0,0,1,1,94815,0,0.31,37193,99791,0.0893,0.4281,0,38289.02,0.07,1,10,10/17/2016,8547.6,0,6,0,0.1,,
1558,15706815,Samoylova,515,Germany,Male,1,37,3,1,1,0,0,1,0,1,1,0,1,188366,1,0.12,32813,43054,0.1453,0.2113,0,42307.53,0.05,1,6,4/10/2018,2886,0,5,1,0.75,,
1559,15618018,Dickson,571,France,Female,1,35,3,2,0,0,1,0,1,0,1,1,1,178513,0,0.48,18804,74192,0.1123,0.3308,0,115957.55,0.12,1,8,4/24/2017,3999.8,0.43,3,0,0.03,,
1560,15671032,He,760,Germany,Male,1,42,0,2,1,1,1,1,0,0,1,0,1,97906,0,0.02,0,26104,0.1537,0.4436,0,83108.91,0.13,1,9,4/30/2018,5569,0.31,6,0,0.53,,
1561,15634281,P'an,720,Germany,Female,1,43,1,1,0,0,0,1,0,1,0,1,1,72862,0,0.34,24108,39281,0.156,0.1621,1,89106.75,0.12,0,4,10/12/2016,3940.1,0.28,2,1,0.63,,
1562,15766374,Leak,632,Germany,Male,1,42,4,2,1,0,1,0,0,1,1,1,0,195979,0,0.41,29807,72172,0.1209,0.3183,1,50824.02,0.07,1,2,1/22/2017,7275.5,0,5,0,0.44,,
1563,15600991,Artemieva,694,Germany,Male,0,31,1,2,1,1,1,1,1,1,0,1,1,19449,1,0.06,30239,89288,0.1309,0.212,1,51672.91,0.12,1,9,10/30/2018,520.1,0.32,2,0,0.68,,
1564,15777576,Frost,559,Spain,Female,0,40,0,1,0,0,0,0,1,1,0,1,1,32636,0,0.25,6474,38786,0.1373,0.2541,1,62385.84,0.08,1,5,7/4/2017,4150.7,0.18,6,0,0.67,,
1565,15742613,Warner,773,Germany,Female,1,42,2,2,1,1,0,1,0,0,1,0,1,171733,0,0.46,7685,93877,0.0932,0.466,1,30509.34,0.04,0,6,2/3/2018,7899.4,0,4,0,0.71,,
1566,15649523,Kennedy,581,France,Male,0,38,1,2,1,0,0,0,1,0,1,1,0,46176,0,0.29,0,51868,0.1441,0.2476,0,71717.42,0.1,0,4,6/8/2016,4343.5,0.3,4,0,0.16,,
1567,15651063,Ifeatu,524,Germany,Female,1,37,2,2,1,1,0,1,1,1,0,1,0,179635,0,0.16,6735,96570,0.1481,0.2224,0,23739.2,0.06,0,3,12/16/2018,9223.8,0.17,2,1,0.43,,
1568,15683124,Evans,713,France,Male,1,53,5,1,0,1,1,0,0,1,0,0,0,191521,1,0.01,23085,41812,0.0804,0.4474,1,51596.24,0.09,0,2,12/9/2016,2871,0,4,0,0.5,,
1569,15618314,Chu,676,France,Male,1,40,0,1,1,1,1,0,1,0,1,1,0,67998,0,0.21,0,78478,0.0917,0.1019,1,50302.96,0.11,1,2,9/26/2015,1295.6,0.01,4,0,0.35,,
1570,15670823,Hsueh,651,Germany,Female,0,42,1,1,1,1,0,0,1,1,1,1,1,44732,1,0.33,28750,45925,0.1763,0.3529,0,57686.43,0.1,0,3,10/25/2016,3271.6,0.01,1,0,0.45,,
1571,15607133,Shih,717,Spain,Female,1,49,5,2,1,0,1,0,0,0,0,1,0,124533,1,0.05,28838,47080,0.0846,0.2888,1,88542.75,0.11,1,9,12/26/2016,9411.4,0,6,0,0.73,,
1572,15615012,Fan,594,France,Male,1,23,4,1,1,1,0,1,0,0,1,1,1,160968,0,0.16,13917,88100,0.1409,0.3366,0,11175.84,0.08,0,1,3/15/2019,4549.5,0.42,3,0,0.1,,
1573,15725141,Whiddon,716,France,Female,0,44,1,1,1,1,1,0,1,0,0,1,0,27342,1,0.09,22943,30577,0.1722,0.4423,1,70292.63,0.12,0,1,4/23/2015,1813,0.02,1,1,0.23,,
1574,15623560,Onyekachukwu,668,France,Female,0,35,1,1,1,0,1,0,0,0,0,0,0,53995,0,0.36,11013,35535,0.1212,0.384,0,19095.38,0.04,1,6,9/12/2017,5209.9,0.09,2,1,0.04,,
1575,15693018,Ermakova,678,Germany,Male,1,23,1,1,1,0,0,0,1,0,0,1,1,91634,0,0.12,0,55901,0.15,0.1997,0,18520.01,0.12,1,1,3/9/2017,6741.6,0.3,5,1,0.39,,
1576,15636756,Marino,545,France,Male,1,23,5,2,1,1,1,0,1,0,1,0,1,189613,0,0.5,10897,65362,0.137,0.3213,0,53504.04,0.12,0,1,12/15/2018,3895.8,0.18,5,0,0.09,,
1577,15647474,Niu,613,France,Female,1,40,1,2,1,1,0,0,1,0,1,1,0,60706,0,0.38,0,96591,0.0979,0.4715,0,42638.05,0.05,1,7,9/17/2018,6647.5,0.5,2,0,0.2,,
1578,15576714,Manna,687,Spain,Female,1,21,5,2,1,1,1,1,0,1,1,1,1,154767,0,0.15,14149,65658,0.1235,0.2847,1,37138.39,0.04,1,1,5/27/2015,5565.8,0.36,4,0,0.33,,
1579,15585047,Onyemere,715,France,Male,1,28,4,1,0,1,1,1,0,1,0,0,1,196853,0,0.16,23466,65934,0.1004,0.3704,0,19587.26,0.04,0,8,6/11/2018,1398.8,0.25,6,0,0.14,,
1580,15743976,Archer,618,Germany,Male,1,41,5,1,1,1,1,0,1,1,0,1,0,195775,0,0.34,29078,69217,0.1305,0.2463,0,23471.09,0.06,1,2,8/26/2017,7131.2,0.05,2,0,0.34,,
1581,15793881,Mitchell,721,France,Female,0,35,1,1,0,1,0,0,1,0,0,0,1,3087,0,0.19,23661,75521,0.1395,0.1141,0,46363.57,0.06,1,8,1/28/2016,2582.3,0.43,3,0,0.36,,
1582,15576517,Everingham,445,Germany,Female,1,34,1,2,1,0,1,1,0,1,1,1,1,70618,0,0.17,34542,46638,0.1063,0.4562,1,21092.86,0.07,1,7,6/2/2018,6392.2,0.22,6,0,0.46,,
1583,15631072,Huie,690,France,Male,0,38,1,2,0,0,1,1,0,0,1,1,1,55034,0,0.38,0,95537,0.14,0.2514,0,41170.33,0.05,1,3,7/29/2016,6529.6,0,2,0,0.14,,
1584,15730394,Crowther,709,France,Female,1,43,5,2,0,1,0,0,0,0,1,1,1,168036,1,0.29,25218,95787,0.1655,0.2827,1,45757.57,0.07,0,6,6/11/2018,9959.6,0.06,4,1,0.5,,
1585,15631460,Swift,671,Spain,Female,1,42,2,2,1,0,1,0,0,0,0,0,0,128449,0,0.42,0,44190,0.1297,0.2629,1,42491.2,0.11,1,5,3/17/2016,546.7,0.19,3,0,0.43,,
1586,15692002,Skelton,538,France,Male,1,33,5,1,1,0,1,1,0,0,0,1,1,199249,0,0.26,19329,44668,0.1468,0.4651,0,32558.7,0.07,1,6,7/18/2015,6101.5,0,6,0,0.66,,
1587,15595282,White,735,France,Female,1,33,3,2,1,1,1,1,1,0,0,0,1,149475,0,0.4,36771,86286,0.1233,0.3539,0,33042.47,0.06,0,9,11/4/2018,5438.7,0.2,3,0,0.32,,
1588,15789548,Giordano,592,France,Female,1,37,4,2,1,0,1,0,0,1,1,0,0,126726,0,0.08,96,51812,0.1309,0.1351,0,17842.6,0.08,1,10,1/16/2015,9027.9,0,1,0,0.59,,
1589,15758035,Bateson,747,France,Male,1,61,5,1,0,1,1,1,0,0,1,0,1,147554,0,0.11,43411,22994,0.0951,0.1139,0,36724.08,0.06,1,1,11/6/2018,1362.5,0,2,0,0.13,,
1590,15617518,Hu,675,Germany,Male,1,36,2,1,1,0,1,1,0,1,0,1,1,149400,0,0.35,20491,88280,0.1632,0.3179,0,41254.54,0.08,1,6,1/24/2019,4294.6,0.17,1,0,0.21,,
1591,15651802,Day,632,Spain,Female,1,39,1,2,1,0,1,0,0,0,1,1,1,93536,0,0.32,1020,27449,0.1445,0.1782,1,41110.44,0.09,0,2,6/4/2015,6744.4,0.29,3,0,0.33,,
1592,15631813,Beneventi,621,France,Male,0,39,0,2,1,1,0,0,1,0,1,0,0,58884,0,0.5,38121,65176,0.1515,0.4181,0,36265.24,0.11,1,4,12/19/2018,893.8,0.36,2,0,0.34,,
1593,15729668,Elizabeth,521,Spain,Male,1,29,2,1,1,1,1,1,0,0,1,1,1,154271,0,0,2863,90811,0.1584,0.3875,1,59683.38,0.09,0,2,2/11/2019,5643.7,0,2,0,0.09,,
1594,15741728,Atkins,591,Spain,Male,1,36,5,1,1,0,0,1,1,1,1,1,0,122023,0,0.24,6629,31312,0.1389,0.4696,0,25333.77,0.06,1,7,3/29/2015,5848.6,0,5,1,0.56,,
1595,15576676,Serrano,706,Germany,Female,0,28,0,2,1,1,0,1,0,0,0,0,1,50299,0,0.41,1416,60493,0.0832,0.116,0,11346.68,0.06,1,9,12/21/2017,8076.1,0.01,3,1,0.48,,
1596,15711378,Willis,677,France,Male,1,38,3,2,1,0,0,1,1,1,0,1,1,187801,0,0.48,29496,38958,0.1007,0.4175,0,17425.48,0.1,0,9,6/21/2015,2701,0.09,5,1,0.25,,
1597,15765520,Stevenson,769,Germany,Male,1,27,3,1,1,1,0,1,1,1,0,1,0,171344,0,0.12,10746,41231,0.1725,0.122,0,36341.7,0.05,0,10,3/10/2019,9222.8,0,3,0,0.41,,
1598,15656726,Ch'ien,771,France,Male,0,32,1,1,1,0,1,1,0,1,0,1,0,40921,0,0.48,31673,52525,0.1338,0.3735,1,110329.66,0.13,1,6,5/23/2018,2168.9,0.5,1,1,0.16,,
1599,15647842,Cunningham,601,Germany,Female,1,48,1,1,1,1,1,0,0,1,1,1,1,63941,1,0.03,18059,99202,0.1029,0.1928,0,47480.16,0.05,0,4,10/1/2016,8182.7,0.28,2,0,0.21,,
1600,15719309,Stephens,670,France,Female,0,42,0,2,0,1,0,0,0,0,1,0,0,29484,0,0.35,1538,51981,0.1109,0.4029,0,9230.2,0.05,1,8,6/2/2019,1267.7,0,5,1,0.25,,
1601,15748718,Gordon,517,France,Male,1,28,2,1,1,1,1,1,0,1,0,1,1,179056,0,0,34660,60348,0.1535,0.3481,0,77760.41,0.09,0,7,9/29/2016,7606.9,0.14,5,0,0.71,,
1602,15594404,Bevan,834,France,Female,1,49,4,2,1,1,1,1,1,0,1,0,0,129274,0,0.21,1185,79101,0.1472,0.309,1,57817.84,0.06,0,8,2/20/2015,6226.9,0,4,0,0.19,,
1603,15751158,Mashman,571,France,Female,0,42,1,3,1,0,1,1,0,1,0,1,0,55559,1,0.22,4172,95368,0.1434,0.3654,0,51378.73,0.12,0,3,6/13/2015,2861.1,0.26,3,0,0.32,,
1604,15593470,Tu,576,Germany,Female,0,36,1,1,1,1,0,0,1,0,0,0,0,23306,0,0.39,20766,46551,0.0905,0.3545,1,81002.62,0.12,1,10,7/6/2015,5629.4,0,5,0,0.42,,
1605,15695129,Milanesi,718,France,Female,0,31,0,1,0,0,1,0,1,1,0,1,1,17129,0,0.22,0,89127,0.1429,0.287,0,34131.29,0.06,1,1,5/8/2015,8515.4,0.25,3,1,0.54,,
1606,15640865,Romano,636,Germany,Female,1,31,0,2,1,1,1,0,0,1,1,1,1,74642,0,0.19,22655,80133,0.1374,0.2899,1,46444.12,0.06,1,5,6/22/2017,8182.1,0.09,1,1,0.09,,
1607,15714080,Goliwe,566,Germany,Female,1,40,3,2,1,1,1,1,0,0,1,0,1,154486,0,0.33,3709,92875,0.1466,0.4457,0,76948.66,0.09,0,4,10/18/2015,539.8,0.26,5,0,0.54,,
1608,15648721,Hsueh,711,France,Male,0,64,0,2,1,1,0,1,0,1,0,1,0,3186,0,0.4,17982,78331,0.1056,0.1934,0,94569.86,0.11,1,4,2/16/2016,5398.3,0.29,6,0,0.44,,
1609,15801466,Gray,574,France,Female,1,39,1,2,1,0,1,1,0,0,1,0,1,88464,0,0.05,38218,31934,0.1431,0.2999,1,32672.09,0.06,0,3,12/31/2017,8401.1,0,3,1,0.58,,
1610,15750248,Wright,619,France,Female,1,35,1,1,1,0,0,0,0,1,1,1,0,65683,0,0.02,16139,67765,0.1316,0.1061,1,52180.21,0.12,0,2,6/9/2019,7790.6,0,3,0,0.4,,
1611,15758726,Chiemeka,588,France,Female,1,24,2,2,1,1,0,0,1,1,1,0,0,140586,0,0.16,0,80531,0.1312,0.1833,0,6969.73,0.04,1,7,3/1/2019,8247.9,0,1,0,0.49,,
1612,15781553,Chung,760,Germany,Female,1,49,4,1,1,1,1,0,0,1,0,0,1,117233,1,0.33,21958,43943,0.0827,0.352,1,16683.87,0.12,0,5,9/2/2018,3118.2,0.17,3,0,0.04,,
1613,15649121,Pinto,665,France,Male,1,52,2,1,1,1,0,0,1,0,1,0,0,116137,1,0.3,25979,62056,0.1056,0.3433,1,20477,0.11,0,5,9/18/2017,3278.3,0,5,0,0.58,,
1614,15674811,Kellway,739,Germany,Male,1,29,5,2,1,0,1,1,0,1,0,0,0,105534,0,0.41,0,42357,0.1129,0.4052,0,78638.2,0.13,1,4,8/9/2015,3352.7,0.48,1,1,0.11,,
1615,15646037,Sopuluchi,641,France,Male,1,77,0,3,1,1,1,0,0,0,0,0,1,81514,0,0.17,9492,63916,0.1123,0.3844,1,18735.32,0.05,1,10,4/30/2019,5074.8,0,1,1,0.12,,
1616,15722578,Spitzer,685,Germany,Female,1,21,2,1,1,0,0,1,1,1,1,1,1,164966,0,0.48,8285,84495,0.1018,0.3327,0,14982.19,0.03,1,10,11/11/2016,4745.3,0,2,1,0.44,,
1617,15665695,Potter,594,France,Female,0,49,1,2,1,1,1,0,0,1,1,0,1,23632,0,0.24,24127,99123,0.1561,0.1483,1,44383.8,0.09,1,4,4/3/2016,6301.5,0,1,0,0.51,,
1618,15801062,Matthews,557,Spain,Female,1,40,2,2,0,1,1,0,1,1,0,0,1,105434,0,0.49,18511,69858,0.1625,0.3525,0,50836.45,0.06,1,6,7/21/2016,7647.4,0.23,1,1,0.67,,
1619,15662955,Nicholls,697,France,Male,1,27,0,2,1,1,1,0,1,1,1,1,1,90591,0,0.22,21500,91612,0.1358,0.1297,0,27340.82,0.09,0,2,1/18/2015,8911.4,0.02,6,0,0.14,,
1620,15770309,McDonald,656,France,Male,1,18,5,1,0,1,1,1,1,0,0,0,0,127014,0,0.18,0,97780,0.1553,0.3149,0,14933.91,0.09,1,7,11/7/2016,2987.8,0,2,1,0.05,,
1621,15657386,Fiorentini,712,Germany,Male,1,43,0,2,0,0,1,1,1,1,0,1,1,90905,0,0,40230,76857,0.0863,0.2474,1,48638,0.06,1,5,12/19/2017,9913.2,0.09,1,1,0.16,,
1622,15777797,Kovalyova,689,Spain,Male,0,38,0,1,1,0,0,1,1,0,1,0,1,8652,1,0.16,0,21201,0.1231,0.35,1,90052.13,0.1,1,6,9/15/2018,1367.7,0.26,3,0,0.47,,
1623,15783955,Miah,697,France,Female,0,25,0,2,1,0,0,0,1,1,0,0,1,15468,0,0.16,32012,85333,0.1502,0.4303,0,13628.81,0.03,0,5,10/13/2018,5300.1,0.3,2,0,0.16,,
1624,15804516,Builder,589,France,Male,1,38,0,1,1,0,0,0,0,0,0,0,0,79915,0,0.4,17535,34577,0.1588,0.3145,1,48948.39,0.08,0,5,11/25/2017,3788.8,0.49,5,0,0.12,,
1625,15681758,Baddeley,525,Spain,Female,1,25,1,2,1,1,1,1,1,0,0,0,0,69362,0,0.15,42200,48470,0.0823,0.1309,0,11771.96,0.04,0,9,5/20/2016,6434.9,0.08,3,1,0.2,,
1626,15630321,Hu,680,France,Male,1,44,1,2,1,0,1,1,0,0,1,0,0,86935,0,0.27,9674,45117,0.094,0.1715,0,27883.86,0.04,0,3,1/5/2019,5654.2,0,5,1,0.37,,
1627,15588248,Hs?,617,France,Female,0,28,0,2,1,0,1,1,0,0,1,0,0,7598,1,0.44,23299,45586,0.1003,0.1079,0,87694.97,0.13,1,4,6/7/2017,8389.1,0.15,2,0,0.46,,
1628,15591932,Ford,680,France,Male,1,32,3,1,1,1,0,1,1,0,0,1,1,116958,0,0.32,0,71462,0.1158,0.1014,0,31384.59,0.04,0,8,4/27/2019,5164.8,0.02,2,1,0.35,,
1629,15810347,Todd,662,Spain,Female,1,30,5,2,0,1,0,1,0,0,1,1,0,157885,0,0.39,32203,93057,0.096,0.2206,1,27945.86,0.04,1,6,9/27/2017,4129.1,0.01,3,1,0.05,,
1630,15595303,Johnston,736,Germany,Male,1,46,0,1,1,1,1,1,0,0,0,1,1,77982,1,0.28,0,41070,0.1351,0.2073,1,11151.66,0.06,1,10,6/19/2017,3659.7,0.24,6,0,0.06,,
1631,15634950,Obiajulu,657,Germany,Male,1,57,4,1,1,1,0,0,0,0,1,1,1,126370,1,0.16,8226,86365,0.0873,0.3108,0,66583.22,0.09,1,6,6/5/2018,7158.5,0.04,6,0,0.05,,
1632,15685372,Azubuike,350,Spain,Male,1,54,3,1,1,1,0,0,1,1,1,0,1,191973,1,0,13549,29568,0.0979,0.2597,0,60666.21,0.06,1,7,3/24/2017,2825.7,0.15,4,1,0.64,,
1633,15745827,Padovesi,617,France,Male,1,30,3,1,1,0,1,0,0,1,1,1,1,142940,0,0.44,7374,59581,0.1603,0.3389,1,42499.12,0.1,0,6,3/6/2018,7574.9,0,3,0,0.42,,
1634,15755868,Farmer,562,France,Male,0,35,1,1,0,0,1,1,0,1,1,1,0,48870,0,0.46,6338,51622,0.1177,0.4092,1,31314.06,0.05,0,2,12/15/2018,3455.7,0.49,4,0,0.66,,
1635,15735222,Ignatieff,705,Spain,Female,1,23,0,2,1,1,1,1,1,0,1,0,0,73132,0,0.02,2468,33551,0.1277,0.2874,0,34078.26,0.07,1,6,10/9/2016,7075.9,0.36,1,1,0.2,,
1636,15604804,Lu,516,France,Female,1,33,3,1,1,1,1,0,1,0,0,1,1,120037,0,0.22,0,50968,0.0921,0.3217,0,24311.05,0.04,1,7,3/7/2017,3282.9,0.4,6,0,0.32,,
1637,15718944,Artemiev,573,France,Female,1,37,3,2,1,0,0,1,0,0,1,1,1,193995,0,0.31,11936,69362,0.082,0.409,1,33998.17,0.04,0,7,7/15/2017,9860.3,0.04,2,0,0.23,,
1638,15678626,Okonkwo,538,Spain,Female,1,31,5,2,0,0,0,1,0,1,0,0,0,179454,0,0.22,14770,30037,0.1327,0.3298,0,13286.21,0.06,0,6,6/6/2015,4642.2,0,1,0,0.27,,
1639,15571550,Dore,699,France,Male,1,39,1,1,1,0,0,1,1,1,1,0,0,80964,0,0.15,24783,96204,0.0922,0.121,0,42072.48,0.05,0,9,6/9/2018,8361.3,0.42,6,0,0.58,,
1640,15723053,T'ang,504,Germany,Male,0,32,1,2,0,1,1,1,1,1,0,0,0,15659,0,0.28,35022,73795,0.0952,0.3616,0,106033.71,0.11,1,4,3/3/2017,7333.2,0.38,6,0,0.48,,
1641,15661528,Ashbolt,583,Spain,Male,1,47,0,1,1,1,0,1,1,1,1,1,1,92708,0,0.46,36962,42249,0.1496,0.4728,0,37034.48,0.1,0,3,2/3/2018,2845.1,0.38,1,1,0.36,,
1642,15754177,Bazarova,712,Spain,Male,0,53,1,2,0,1,0,1,0,0,1,0,0,26542,0,0.5,0,50230,0.1624,0.45,0,31659.54,0.04,0,4,6/4/2017,4375.2,0,1,0,0.54,,
1643,15683544,Buccho,626,Spain,Male,1,62,1,1,1,0,1,1,0,1,0,1,0,65011,0,0.21,17197,82103,0.1065,0.1845,0,82119.6,0.09,1,2,4/2/2017,3816.8,0.18,4,1,0.23,,
1644,15708048,Burn,631,France,Female,1,34,2,1,1,0,0,1,0,1,0,1,1,106893,0,0.11,1599,46689,0.1121,0.4047,1,49473.03,0.08,0,10,6/4/2016,8613.4,0,4,1,0.07,,
1645,15701109,Andreyev,663,France,Female,1,37,4,1,1,0,0,0,1,1,0,0,0,185211,0,0.47,0,34851,0.1494,0.3251,0,90977.37,0.12,1,2,8/5/2017,4812.5,0,1,1,0.18,,
1646,15600110,Endrizzi,506,Germany,Female,0,41,1,1,1,0,0,1,0,0,0,0,1,4035,0,0.13,42876,53937,0.1007,0.4775,1,104709.77,0.11,0,7,4/22/2017,5900.1,0.36,4,0,0.18,,
1647,15651533,Brown,570,Germany,Female,1,50,4,1,1,1,0,1,1,0,1,1,0,177805,1,0.38,5021,63059,0.1235,0.3319,0,72963.6,0.09,0,3,1/16/2018,7160.2,0.15,4,1,0.3,,
1648,15777904,Nock,703,France,Female,1,45,0,2,1,0,0,0,0,0,1,1,0,68832,0,0.28,24662,82487,0.1565,0.3944,0,93915.38,0.1,1,2,2/16/2015,976.3,0,6,1,0.36,,
1649,15655574,Okeke,698,Germany,Female,1,40,2,1,1,0,1,1,0,0,1,1,1,114733,0,0.3,39745,57182,0.1597,0.2357,0,43962.83,0.07,0,2,6/9/2017,6469.6,0,2,1,0.59,,
